Renata Precision Components Pvt Ltd.,Renata Karandi Naps,NAPS,OP,1,1.5,1,1,1
Renata Precision Components Pvt. Ltd-,Renata Sector 7,NEEM,SRP,1,1.5,1,1,1
RINDER INDIA PVT. LTD.,Rinder Chakan,NEEM,SRP,1.5,1.5,1,1.5,1.5
ROKIMINDA CO PRIVATE LTD,Rokiminda,NEEM,SRP,1,1.5,1,1,1
R-Vision Plastic Industries Ltd,R Vision,NEEM,SRP,1.5,1.5,1,1,1.5
Saehan Stamping Private Limited,Saehan Stamping,NEEM,SRP,1,1.5,1,1,1.5
Sakthi Gear Products (Unit 2),Sakhti Gear Unit 2,NEEM,SRP,1.5,1.5,1,1.5,1.5
San and San Auto Private Limited,San & San,NEEM,SRP,1.5,1.5,1,1.5,1.5
Schmetz India Private Limited,Schmetz,NEEM,Franchisee,1,1,1,1,1
Schneider Electric India Pvt.Ltd.,Schneider Hyderabad,NEEM,SRP,1.5,1.5,1,1,1.5
Schneider Electric Infrastructure Limited,Schneider Vadodara,NEEM,OP,1,1,1,1,1
Schneider Electric IT Business India Pvt. Ltd,Schneider Banglore,NEEM,Franchisee,1,1,1,1,1
Schneider Electric IT Business India Pvt.Ltd.,Schneider Rudranagar,NEEM,OP,1,1,1,1,1
SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD,Schneider President,NEEM,Franchisee,1,1,1,1,1
Schneider Electric SEPFC,Schneider SEPFC,NEEM,Franchisee,1,1,1,1,1
Selec Control Pvt Ltd,Selec Control,NEEM,SP,1.5,1,1,1,1
Selec Control Pvt Ltd,Selec EL 180,NEEM,SP,1.5,1,1,1,1
Selec Control Pvt Ltd,Selec EL 171,NEEM,SP,1.5,1,1,1,1
Selec Control Pvt Ltd.,Selec EL 67,NEEM,SP,1.5,1,1,1,1
SELTECH SALES & SERVICES,Seltech,NEEM,SRP,1.5,1.5,1,1,1
Senapathy Whiteley Pvt Ltd,Senapathy,NEEM,Franchisee,1,1,1,1,1
SFO Technologies Pvt Ltd,SFO,NEEM,Franchisee,1,1,1,1,1
SHIRODKAR PRECI COMP PVT LTD,Shirodkar,NEEM,SRP,1.5,1,1,1.5,1.5
